npc_id,world_id,name_jp,name_en,role,dark_role,x,y,facing,npc_type,phase_count,clue_ids,shop_id,service_id,personality_note,initial_dialogue_jp,notes
NPC-VIL-001,VIL,ナツセ,Natsuse,長老,塔の名を避け家単位で人を記憶する,64,25,down,key,4,CL-002,,,"沈黙の体現者。怒るより先に確認する",北は今日はやめとけ。……風が変わった。,開始村
NPC-VIL-002,VIL,サエ,Sae,記録番,書き換えられた記録の中継点,58,38,down,key,4,"CL-003,CL-010",,,"几帳面だが核心で帳面を閉じる",札の寸法は昔から決まっている。誰が決めたかは知らん。,開始村
NPC-VIL-003,VIL,ドモン,Domon,畜舎主,梁の刻み傷と頭数が噛み合わない,29,31,right,key,4,CL-003,,,"寡黙で実直。数が合わないと黙る",朝の仕事だ。頭数を確かめてくれ。,開始村・チュートリアル
NPC-VIL-004,VIL,ミナワ,Minawa,井戸端の女,失踪を噂に落として共同体が飲み込んだ,44,31,left,key,4,"CL-004,CL-002",,,"噂好きだが核心には触れない",♪借りた名は朝に返す……あら、何の歌だっけ。,開始村
NPC-VIL-005,VIL,ヨヒラ,Yohira,子ども,大人が避ける言い回しを素で喋る,49,28,down,key,4,CL-004,,,"無邪気で禁句を平気で言う",あっちへ行くと人が減るんだって。,開始村
NPC-VIL-006,VIL,シズネ,Shizune,墓守,失踪者が死者として扱われていない,76,41,up,key,4,CL-005,,,"静かで丁寧。空碑を掃き続ける",まだ入れる名がないんだ。……待っているだけさ。,開始村
NPC-VIL-007,VIL,ヒサメ,Hisame,糸売り婆,家印布と門の文様が同じ寸法比,39,34,right,minor,4,CL-003,,,"手仕事の間に断片を漏らす",この糸目の規則を崩すと布が解ける。昔からそう。,開始村
NPC-VIL-008,VIL,カジ,Kaji,失踪者の家の嫁,表札だけ外された家を維持する,68,35,down,key,4,CL-001,,,"穏やかだが目を合わせない瞬間がある",前のものを外しただけ。……下？　知らない。,開始村
NPC-VIL-009,VIL,ガロ,Garo,北道の柵直し,柵が村人を行かせない向きに立つ,45,18,up,minor,4,CL-005,,,"実直な職人。言葉少な",柵は向こうのためじゃない。こっちのためだ。,開始村
NPC-VIL-010,VIL,レン,Ren,荷運び,外の町では塔を別名で呼ぶ,46,57,up,minor,4,,,,"外の世界を少し知っている",町ではあの建物を別の名で呼ぶんだ。ここだけだよ、あんなに嫌うのは。,開始村
