service_id,slug,registry_id,name_jp,name_en,service_category,scope_id,pricing_basis,base_price,effect_key,effect_value,uses_per_reset,story_gate_flag,status,tags,notes
service_vil_restoration,vil_restoration,SVC-VIL-HEAL,開始村 手当て,Starting Village Restoration,party_restore,VIL,per_party,18,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-VIL-014 legacy_alias=SVC-VIL-HEAL
service_w01_restoration,w01_restoration,SVC-W01-HEAL,名伏せの野 手当て,Veilname Fields Restoration,party_restore,W-001,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W01-010 legacy_alias=SVC-W01-HEAL
service_w02_restoration,w02_restoration,SVC-W02-HEAL,灰乳の谷 手当て,Ashmilk Vale Restoration,party_restore,W-002,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W02-007 legacy_alias=SVC-W02-HEAL
service_w03_restoration,w03_restoration,SVC-W03-HEAL,継灯の宿場 手当て,Hostel of Lanterns Restoration,party_restore,W-003,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W03-009 legacy_alias=SVC-W03-HEAL
service_w04_restoration,w04_restoration,SVC-W04-HEAL,札差しの岬 手当て,Tagged Headland Restoration,party_restore,W-004,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W04-008 legacy_alias=SVC-W04-HEAL
service_w05_restoration,w05_restoration,SVC-W05-HEAL,香なしの墓苑 手当て,Incenseless Cemetery Restoration,party_restore,W-005,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W05-007 legacy_alias=SVC-W05-HEAL
service_w06_restoration,w06_restoration,SVC-W06-HEAL,鈴結びの湿地 手当て,Bellknot Marsh Restoration,party_restore,W-006,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W06-007 legacy_alias=SVC-W06-HEAL
service_w07_breeding,w07_breeding,SVC-W07-BREED,削名の階市 配合相談,Erased Name Steps Breeding Assist,fusion_assist,W-007,flat,275,open_breeding,standard,,,active,breed|facility,keeper=NPC-W07-013 legacy_alias=SVC-W07-BREED
service_w07_restoration,w07_restoration,SVC-W07-HEAL,削名の階市 手当て,Erased Name Steps Restoration,party_restore,W-007,per_party,34,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W07-009 legacy_alias=SVC-W07-HEAL
service_w08_restoration,w08_restoration,SVC-W08-HEAL,獣印の放牧環 手当て,Brandring Pasture Restoration,party_restore,W-008,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W08-007 legacy_alias=SVC-W08-HEAL
service_w09_breeding,w09_breeding,SVC-W09-BREED,仮親の雪原 配合相談,Foster Snowfield Breeding Assist,fusion_assist,W-009,flat,310,open_breeding,standard,,,active,breed|facility,keeper=NPC-W09-012 legacy_alias=SVC-W09-BREED
service_w09_restoration,w09_restoration,SVC-W09-HEAL,仮親の雪原 手当て,Foster Snowfield Restoration,party_restore,W-009,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W09-008 legacy_alias=SVC-W09-HEAL
service_w10_restoration,w10_restoration,SVC-W10-HEAL,群書の塩庫 手当て,Archive Salt Storehouse Restoration,party_restore,W-010,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W10-007 legacy_alias=SVC-W10-HEAL
service_w11_restoration,w11_restoration,SVC-W11-HEAL,逆誓の修院 手当て,Reverse Vow Monastery Restoration,party_restore,W-011,per_party,50,restore_party,hp_mp_status,,,active,heal|field,keeper=NPC-W11-008 legacy_alias=SVC-W11-HEAL
service_w12_arena_entry,w12_arena_entry,SVC-W12-ARENA,骨樋の港 闘技受付,Bone Flume Port Arena Entry,tournament_entry,W-012,per_attempt,160,open_arena,entry,,,active,arena|facility,keeper=NPC-W12-013 legacy_alias=SVC-W12-ARENA
service_w12_breeding,w12_breeding,SVC-W12-BREED,骨樋の港 配合相談,Bone Flume Port Breeding Assist,fusion_assist,W-012,flat,310,open_breeding,standard,,,active,breed|facility,keeper=NPC-W12-014 legacy_alias=SVC-W12-BREED
